Timestamp,Distance,Hits,Misses,Level,Score,ScoreLossPowerups,ScoreLoss,ScoreGain,LaneSwitches,ReachedEnd,powerups_pickedup,powerups_used,Score,Score
9/26/2022 17:11:34,0057.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:12:43,0057.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:13:04,0094.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:13:20,0094.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:13:26,0010.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:13:42,0010.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:13:57,0013.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 17:14:14,0085.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:14:30,0085.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:15:22,0004.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 17:16:23,0012.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 17:16:42,0101.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 17:17:28,0181.98 0 40 dead,,,,,,,,,,,,,
9/26/2022 17:20:00,0005.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 17:20:30,0016.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 17:20:55,0078.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:09:16,0050.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:09:51,0005.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:10:31,0195.98 0 40 dead,,,,,,,,,,,,,
9/26/2022 20:12:12,0076.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:40:03,0027.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 20:40:33,0104.16 -6 100 dead,,,,,,,,,,,,,
9/26/2022 20:41:22,0144.12 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:42:48,0044.18 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:43:45,0086.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:44:40,0088.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:56:43,0032.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:59:05,0049.00 0 100 dead,,,,,,,,,,,,,
9/26/2022 20:59:57,0184.04 0 100 dead,,,,,,,,,,,,,
9/26/2022 21:03:24,0071.99 0 100 dead,,,,,,,,,,,,,
9/26/2022 21:06:54,0078.92 0 200 dead,,,,,,,,,,,,,
9/26/2022 21:07:41,0278.70 13 -10 alive,,,,,,,,,,,,,
9/26/2022 21:08:47,0178.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:49:45,0012.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:50:22,0012.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:50:50,0144.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:51:25,0144.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:51:44,0085.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:54:37,0119.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:55:03,0119.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:56:16,0067.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:57:19,0067.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:58:07,0204.17 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:58:26,0204.17 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:58:59,0160.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 11:59:29,0005.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 12:05:14,0115.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 12:05:20,0014.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 12:07:54,0111.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 12:08:51,0047.99 0 100 dead,,,,,,,,,,,,,
9/27/2022 12:10:22,0184.08 -3 100 dead,,,,,,,,,,,,,
9/27/2022 12:23:25,0184.06 0 100 dead,,,,,,,,,,,,,
9/27/2022 12:40:18,0123.40 38 0 alive,,,,,,,,,,,,,
9/27/2022 12:51:36,0109.29 50 0 alive,,,,,,,,,,,,,
9/27/2022 12:53:19,0123.00 0 30 dead,,,,,,,,,,,,,
9/27/2022 13:07:20,0129.00 0 80 dead,,,,,,,,,,,,,
9/27/2022 13:09:39,0087.99 0 20 dead,,,,,,,,,,,,,
9/27/2022 13:15:43,0100.99 0 80 dead,,,,,,,,,,,,,
9/27/2022 13:16:47,0070.99 0 80 dead,,,,,,,,,,,,,
9/27/2022 13:17:38,0122.99 0 30 dead,,,,,,,,,,,,,
9/27/2022 13:32:01,0098.00 0 60 dead,,,,,,,,,,,,,
9/27/2022 13:32:40,0124.15 -6 70 dead,,,,,,,,,,,,,
9/27/2022 13:41:37,0244.09 -4 90 dead,,,,,,,,,,,,,
9/27/2022 13:42:08,0204.15 -1 90 dead,,,,,,,,,,,,,
9/27/2022 13:42:34,0161.00 0 90 dead,,,,,,,,,,,,,
9/27/2022 14:04:27,0131.00 0 10 dead,,,,,,,,,,,,,
9/27/2022 14:13:48,0124.08 -8 90 dead,,,,,,,,,,,,,
9/27/2022 14:14:05,0104.15 -3 90 dead,,,,,,,,,,,,,
9/27/2022 14:14:18,0056.00 0 90 dead,,,,,,,,,,,,,
9/27/2022 14:27:40,0003.66 100 -200 alive,,,,,,,,,,,,,
9/27/2022 14:27:44,0000.12 100 -8600 alive,,,,,,,,,,,,,
9/27/2022 14:27:49,0000.15 100 -8600 alive,,,,,,,,,,,,,
9/27/2022 14:28:03,0000.13 100 -8600 alive,,,,,,,,,,,,,
9/27/2022 14:49:30,0313.00 0 70 dead,,,,,,,,,,,,,
9/27/2022 14:51:32,0122.99 0 70 dead,,,,,,,,,,,,,
9/27/2022 14:52:12,0148.00 0 60 dead,,,,,,,,,,,,,
9/27/2022 15:05:39,0156.98 0 190 dead,,,,,,,,,,,,,
9/27/2022 15:06:34,0156.98 0 190 dead,,,,,,,,,,,,,
9/27/2022 15:07:39,0499.51 9 0 alive,,,,,,,,,,,,,
9/27/2022 15:09:35,0247.92 0 90 dead,,,,,,,,,,,,,
9/27/2022 15:09:48,0052.00 0 90 dead,,,,,,,,,,,,,
9/27/2022 15:11:04,0035.99 0 200 dead,,,,,,,,,,,,,
9/27/2022 15:11:29,0017.00 0 100 dead,,,,,,,,,,,,,
9/27/2022 15:22:45,0099.99 0 70 dead,,,,,,,,,,,,,
9/27/2022 15:23:33,0099.99 0 70 dead,,,,,,,,,,,,,
9/27/2022 15:23:54,0097.00 0 60 dead,,,,,,,,,,,,,
9/27/2022 15:24:39,0097.00 0 60 dead,,,,,,,,,,,,,
9/27/2022 15:24:50,0045.99 0 70 dead,,,,,,,,,,,,,
9/27/2022 15:25:18,0174.00 0 10 dead,,,,,,,,,,,,,
9/27/2022 15:25:36,0061.92 0 180 dead,,,,,,,,,,,,,
9/27/2022 15:26:00,0061.92 0 180 dead,,,,,,,,,,,,,
9/27/2022 15:26:29,0061.92 0 180 dead,,,,,,,,,,,,,
9/27/2022 15:26:35,0144.14 -6 10 dead,,,,,,,,,,,,,
9/27/2022 15:26:59,0144.00 0 20 dead,,,,,,,,,,,,,
9/27/2022 15:27:19,0061.92 0 180 dead,,,,,,,,,,,,,
9/27/2022 15:27:38,0044.10 -3 90 dead,,,,,,,,,,,,,
9/27/2022 15:28:34,0147.80 20 0 alive,,,,,,,,,,,,,
9/27/2022 15:45:08,0239.45 11 -20 alive,,,,,,,,,,,,,
9/27/2022 15:47:19,0199.36 100 0 alive,,,,,,,,,,,,,
9/27/2022 15:55:09,0218.43 90 -10 alive,,,,,,,,,,,,,
9/27/2022 16:05:04,0112.00 0 50 dead,,,,,,,,,,,,,
9/27/2022 16:23:07,0112.00 0 50 dead,,,,,,,,,,,,,
9/27/2022 16:39:55,0198.98 60 0 alive,,,,,,,,,,,,,
9/27/2022 16:40:31,0198.53 78 0 alive,,,,,,,,,,,,,
9/27/2022 16:41:05,0198.60 80 0 alive,,,,,,,,,,,,,
9/27/2022 16:41:34,0082.00 0 80 dead,,,,,,,,,,,,,
9/27/2022 16:42:14,0199.09 78 0 alive,,,,,,,,,,,,,
9/27/2022 16:42:42,0199.96 90 0 alive,,,,,,,,,,,,,
9/27/2022 16:43:54,0202.16 89 0 alive,,,,,,,,,,,,,
9/27/2022 17:16:02,0260.29 23 0 alive,,,,,,,,,,,,,
9/27/2022 17:17:59,0520.38 120 0 alive,,,,,,,,,,,,,
9/27/2022 17:19:27,0460.55 119 0 alive,,,,,,,,,,,,,
9/27/2022 17:51:44,0219.73 90 0 alive,,,,,,,,,,,,,
9/27/2022 17:52:20,0200.07 100 0 alive,,,,,,,,,,,,,
9/29/2022 11:26:23,0201.01 90 0 alive,,,,,,,,,,,,,
9/29/2022 12:07:32,0220.93 69 -10 alive,,,,,,,,,,,,,
9/29/2022 12:22:39,0200.56 38 0 alive,,,,,,,,,,,,,
9/29/2022 12:33:57,0199.74 90 0 alive,,,,,,,,,,,,,
9/29/2022 12:36:36,0199.74 90 0 alive,,,,,,,,,,,,,
9/29/2022 12:36:58,0199.74 90 0 alive,,,,,,,,,,,,,
9/29/2022 12:37:14,0199.74 90 0 alive,,,,,,,,,,,,,
9/29/2022 12:38:43,0201.95 70 0 alive,,,,,,,,,,,,,
9/29/2022 12:39:46,0200.66 100 0 alive,,,,,,,,,,,,,
9/29/2022 12:39:53,0021.80 -210 100 dead,,,,,,,,,,,,,
9/29/2022 12:41:30,0041.00 -220 100 dead,,,,,,,,,,,,,
9/29/2022 12:41:51,0060.57 -248 100 dead,,,,,,,,,,,,,
9/29/2022 12:42:14,0200.66 100 0 alive,,,,,,,,,,,,,
9/29/2022 12:44:26,0040.38 -266 100 dead,,,,,,,,,,,,,
9/29/2022 12:45:50,0040.11 -201 90 dead,,,,,,,,,,,,,
9/29/2022 12:46:07,0204.54 0 100 dead,,,,,,,,,,,,,
9/29/2022 12:46:49,0204.54 0 100 dead,,,,,,,,,,,,,
9/29/2022 12:47:11,0019.15 -190 90 dead,,,,,,,,,,,,,
9/29/2022 12:47:11,0204.54 0 100 dead,,,,,,,,,,,,,
9/29/2022 12:47:21,0204.54 0 100 dead,,,,,,,,,,,,,
9/29/2022 12:48:01,0284.67 0 20 dead,,,,,,,,,,,,,
9/29/2022 12:49:36,0020.87 -200 100 dead,,,,,,,,,,,,,
9/29/2022 12:53:05,0005.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 12:57:23,0204.21 -6 100 dead,,,,,,,,,,,,,
9/29/2022 13:03:32,0199.94 80 0 alive,10,2,,,,,,,,,,,
9/29/2022 13:05:32,0199.94 80 0 alive,0,0,,,,,,,,,,,
9/29/2022 13:54:22,0359.91 20 -20 alive,,,,,,,,,,,,,
9/29/2022 13:54:55,0199.70 90 0 alive,,,,,,,,,,,,,
9/29/2022 13:55:24,0199.07 80 0 alive,,,,,,,,,,,,,
9/29/2022 13:55:56,0199.90 100 0 alive,,,,,,,,,,,,,
9/29/2022 13:57:36,0199.45 80 0 alive,,,,,,,,,,,,,
9/29/2022 14:00:01,0073.98 -7 100 dead,,,,,,,,,,,,,
9/29/2022 14:04:09,0067.92 -2 100 dead,,,,,,,,,,,,,
9/29/2022 14:04:24,0104.65 -3 100 dead,,,,,,,,,,,,,
9/29/2022 14:07:11,0201.99 0 50 dead,,,,,,,,,,,,,
9/29/2022 14:18:24,0196.98 0 80 dead,,,,,,,,,,,,,
9/29/2022 14:20:24,0239.84 80 0 alive,,,,,,,,,,,,,
9/29/2022 14:41:55,0219.65 70 0 alive,,,,,,,,,,,,,
9/29/2022 14:42:33,0199.50 100 0 alive,,,,,,,,,,,,,
9/29/2022 14:43:16,0279.08 20 0 alive,,,,,,,,,,,,,
9/29/2022 14:53:18,0089.00 0 70 dead,,,,,,,,,,,,,
9/29/2022 15:02:22,0012.00 0 100 dead,,,,,,,,,,,,,
9/29/2022 15:03:49,0025.00 0 100 dead,,,,,,,,,,,,,
9/29/2022 15:25:49,0200.93 80 0 alive,10,2,,,,,,,,,,,
9/29/2022 15:43:05,0204.43 0 100 dead,0,10,,,,,,,,,,,
9/29/2022 15:47:32,0199.86 100 0 alive,0,0,ninja_run_level2,,,,,,,,,,
9/29/2022 15:48:24,0199.77 90 0 alive,10,1,ninja_run_level2,,,,,,,,,,
9/29/2022 15:49:23,0199.66 90 0 alive,20,2,ninja_run_level3,,,,,,,,,,
9/29/2022 15:52:39,0199.96 100 0 alive,10,0,ninja_run_level1,,,,,,,,,,
9/29/2022 15:58:51,0201.09 90 0 alive,10,1,ninja_run_level1,,,,,,,,,,
9/29/2022 15:59:49,0220.07 80 -10 alive,11,2,ninja_run_level2,,,,,,,,,,
9/29/2022 16:00:53,0200.95 100 0 alive,10,0,ninja_run_level3,,,,,,,,,,
9/29/2022 16:02:44,0200.56 100 0 alive,10,0,ninja_run_level4,,,,,,,,,,
9/29/2022 16:04:16,0199.68 100 0 alive,10,0,ninja_run_level2,,,,,,,,,,
9/29/2022 16:04:55,0200.62 100 0 alive,10,0,ninja_run_level2,,,,,,,,,,
9/29/2022 16:05:36,0199.79 100 0 alive,10,0,ninja_run_level1,,,,,,,,,,
9/29/2022 16:06:22,0204.36 -2 100 dead,0,10,ninja_run_level4,,,,,,,,,,
9/29/2022 16:32:49,0184.57 0 60 dead,,,,,,,,,,,,,
9/29/2022 17:24:40,0141.94 -2 100 dead,,,,,,,,,,,,,
9/29/2022 17:26:42,0204.28 0 100 dead,,,,,,,,,,,,,
9/29/2022 17:27:10,0164.20 0 100 dead,,,,,,,,,,,,,
9/29/2022 17:28:02,0204.22 0 100 dead,,,,,,,,,,,,,
9/29/2022 18:55:54,0167.80 19 0 alive,,,,,,,,,,,,,
9/29/2022 19:03:08,0142.99 0 10 dead,,,,,,,,,,,,,
9/29/2022 19:07:40,0204.12 -1 20 dead,,,,,,,,,,,,,
9/29/2022 19:08:04,0152.99 0 60 dead,,,,,,,,,,,,,
9/29/2022 19:11:47,0048.00 0 100 dead,,,,,,,,,,,,,
9/29/2022 19:14:06,0028.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 19:14:36,0038.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 19:15:31,0038.99 0 100 dead,,,,,,,,,,,,,
9/29/2022 19:17:22,0111.00 0 60 dead,,,,,,,,,,,,,
