Timestamp,Level,Restart_Quit
10/21/2022 13:40:22,level_six,Restart
10/21/2022 13:40:34,level_six,Quit
10/21/2022 14:00:30,level_six,Restart
10/21/2022 15:48:59,level_one,Quit
10/21/2022 15:49:29,level_one,Quit
10/21/2022 15:49:48,level_one,Quit
10/22/2022 11:12:37,level_three,Quit
10/22/2022 14:10:08,level_one,Quit
10/22/2022 20:07:18,level_one,Quit
10/22/2022 20:08:21,level_two,Quit
10/22/2022 20:09:01,level_three,Quit
10/22/2022 20:09:10,level_four,Quit
10/22/2022 20:09:17,level_six,Quit
10/23/2022 1:35:42,level_one,Restart
10/23/2022 1:36:07,level_one,Restart
10/23/2022 1:36:09,level_one,Quit
10/23/2022 1:36:44,level_two,Restart
10/23/2022 11:04:33,level_one,Restart
10/23/2022 21:50:25,level_one,Restart
10/23/2022 21:50:27,level_one,Quit
10/23/2022 21:50:31,level_two,Restart
10/23/2022 21:50:35,level_two,Restart
10/23/2022 21:50:36,level_two,Quit
10/23/2022 21:50:40,level_three,Quit
10/24/2022 16:29:28,level_one,Restart
10/24/2022 16:30:29,level_one,Quit
10/24/2022 16:34:15,level_one,Quit
10/24/2022 16:38:22,level_one,Restart
10/24/2022 16:38:43,level_one,Restart
10/24/2022 16:39:08,level_one,Restart
10/24/2022 16:39:34,level_one,Quit
10/25/2022 0:41:06,level_one,Restart
10/25/2022 0:41:07,level_one,Restart
10/25/2022 0:41:08,level_one,Restart
10/25/2022 0:41:21,level_one,Restart
10/25/2022 0:41:22,level_one,Restart
10/25/2022 0:41:24,level_one,Quit
10/25/2022 0:41:26,level_two,Quit
10/25/2022 0:41:28,level_one,Quit
10/25/2022 0:41:30,level_five,Quit
10/25/2022 1:36:43,level_one,Restart
10/25/2022 1:36:44,level_one,Quit
10/25/2022 15:57:50,level_one,Restart
10/25/2022 15:57:55,level_one,Restart
10/25/2022 15:57:56,level_one,Restart
10/25/2022 15:57:57,level_one,Restart
10/25/2022 15:58:00,level_one,Quit
10/25/2022 15:58:48,level_two,Quit
10/25/2022 15:59:20,level_seven,Restart
10/25/2022 17:41:08,level_one,Restart
10/25/2022 17:41:25,level_one,Restart
10/25/2022 18:02:01,level_one,Quit
10/25/2022 18:02:15,level_four,Quit
10/25/2022 18:03:37,level_one,Restart
10/25/2022 18:04:09,level_one,Quit
10/25/2022 18:36:37,level_one,Restart
10/25/2022 18:37:14,level_one,Restart
10/25/2022 19:36:58,level_one,Restart
10/25/2022 19:36:59,level_one,Restart
10/25/2022 19:36:59,level_one,Restart
10/25/2022 19:36:59,level_one,Restart
10/25/2022 19:37:00,level_one,Restart
10/25/2022 19:37:00,level_one,Restart
10/25/2022 19:37:01,level_one,Quit
10/25/2022 19:39:19,level_one,Quit
